site_name,latitude,longitude,state,com_type,commod1,dep_type,prod_size,dev_stat,ore,work_type,hrock_type,arock_type
Julia Eloisa,-9.49797,-77.14975,Ancash,M,,,,Occurrence,,,,
Cobre Acari,-15.27775,-74.59968,Arequipa,M,Copper,,,Past Producer,,,,
Unidad San Juan/Millotingo,-12.13116,-76.29972,Lima,M,Silver,,,Plant,,,,
Graciella-Juanita,-12.13116,-76.26642,Lima,B,"Lead, Zinc",,,Producer,,,,
La Granja,7.15123,-78.53308,Cajamarca,M,Copper,,,Prospect,,Surface,,
San Martin,-15.04775,-72.29132,Arequipa,M,Silver,,,Producer,,,,
Aguas Verdes,-15.38104,-73.90776,Ayacucho,M,Copper,,,Prospect,,Underground,,
Huachacolpa Mine,-13.11452,-74.89969,Huancavelica,M,,,,Producer,,Underground,,
Catalina Huanca,-13.11452,-74.21637,Ayacucho,M,,,,Producer,,,,
Auquibamba,-13.7278,-72.94964,Apurimac,M,Copper,,,Unknown,,,,
Contonga,-7.35666,-78.15227,Ancash,M,,,,Producer,,Underground,,
Berenguela,-15.66443,-70.58287,Puno,M,"Silver, Copper",,,Prospect,,Surface,,
Andarapa,-13.49781,-73.31965,Apurimac,M,Copper,,,Unknown,,,,
Posco,-15.98772,-73.14964,Arequipa,M,,,,Producer,,Surface,,
Ccoridelia,-10.16464,-76.94974,Ancash,M,,,,Past Producer,,,,
Laurion,-9.26798,-77.35975,Ancash,M,,,,Producer,,Underground,,
Aida,-10.21464,-76.94974,Ancash,M,,,,Past Producer,,,,
Peru,-9.93125,-77.02474,Ancash,M,,,,Prospect,,,,
Cia Minera Agregados,-10.9979,-76.99973,Lima,N,,,,Producer,,,,
Farallon Surco,-12.14786,-76.24972,Lima,M,,,,Prospect,,,,
Cemsa,-6.89808,-79.0998,Cajamarca,M,,,,Producer,,Underground,,
Venus,-9.99685,-77.21645,Ancash,M,,,,Prospect,,,,
Pacococha,-11.83117,-76.24972,Lima,M,"Silver, Copper",,,Plant,,,,
Minera Baribent,-6.3898,-79.1048,Cajamarca,N,Barium-Barite,,,Producer,,Underground,,
Aguas Cochas,-11.88787,-76.44973,Lima,M,Copper,,,Unknown,,Surface,,
Aija,-9.78126,-77.53306,Ancash,M,,,,Producer,,,,
Alpamarca,-11.1146,-76.46223,Junin,M,"Silver, Copper, Lead",,,Plant,,,,
Rio Seco,-13.49781,-75.9997,Ica,M,Copper,,,Producer,,Underground,,
Yanacocha,-7.07497,-78.48918,Cajamarca,M,Gold,,,Prospect,,,,
Huarochiri,-12.14786,-76.24972,Lima,M,,,,Producer,,,,
Paciencia,-9.89795,-77.08975,Ancash,M,,,,Prospect,,,,
